"trust_promise","male","age","edu","unemployed","rural","political_know","cntry","country_year","year"
2,2,38,10,1,2,2,"AR","AR-2006",2006
2,1,48,7,-11,2,5,"AR","AR-2006",2006
1,1,58,10,-11,2,4,"AR","AR-2006",2006
4,1,38,10,-11,2,1,"AR","AR-2006",2006
2,1,48,18,-11,2,4,"AR","AR-2006",2006
1,1,33,14,-11,2,4,"AR","AR-2006",2006
1,1,43,9,-11,2,2,"AR","AR-2006",2006
1,2,42,9,-11,2,4,"AR","AR-2006",2006
4,2,24,12,1,2,2,"AR","AR-2006",2006
2,2,61,7,1,2,4,"AR","AR-2006",2006
4,1,32,6,-11,2,2,"AR","AR-2006",2006
4,2,28,12,1,2,4,"AR","AR-2006",2006
2,2,28,3,1,2,2,"AR","AR-2006",2006
2,2,51,1,1,2,4,"AR","AR-2006",2006
2,2,39,9,1,2,2,"AR","AR-2006",2006
2,2,41,7,1,2,3,"AR","AR-2006",2006
2,2,48,10,-11,2,4,"AR","AR-2006",2006
2,2,32,7,-11,2,2,"AR","AR-2006",2006
2,1,50,7,-11,2,2,"AR","AR-2006",2006
2,1,20,9,-11,2,2,"AR","AR-2006",2006
1,2,60,12,1,2,3,"AR","AR-2006",2006
2,2,30,7,1,2,2,"AR","AR-2006",2006
2,1,33,8,-11,2,4,"AR","AR-2006",2006
3,2,27,8,1,2,4,"AR","AR-2006",2006
2,1,39,9,1,2,2,"AR","AR-2006",2006
2,2,38,11,1,2,4,"AR","AR-2006",2006
1,1,50,15,-11,2,2,"AR","AR-2006",2006
2,2,62,7,1,2,2,"AR","AR-2006",2006
2,2,41,2,-11,2,2,"AR","AR-2006",2006
2,2,35,12,-11,2,4,"AR","AR-2006",2006
2,1,20,12,-11,2,2,"AR","AR-2006",2006
4,1,61,3,-11,2,3,"AR","AR-2006",2006
1,1,43,12,-11,2,4,"AR","AR-2006",2006
2,2,75,2,1,2,4,"AR","AR-2006",2006
4,2,59,1,1,2,4,"AR","AR-2006",2006
2,1,26,25,-11,2,4,"AR","AR-2006",2006
2,1,54,7,-11,2,,"AR","AR-2006",2006
2,1,52,7,-11,2,4,"AR","AR-2006",2006
1,2,57,2,1,2,1,"AR","AR-2006",2006
1,2,49,18,-11,2,5,"AR","AR-2006",2006
1,2,63,12,1,2,4,"AR","AR-2006",2006
1,1,27,11,-11,2,2,"AR","AR-2006",2006
2,2,34,15,-11,2,4,"AR","AR-2006",2006
1,1,42,18,-11,2,5,"AR","AR-2006",2006
2,1,71,12,-11,2,4,"AR","AR-2006",2006
2,2,39,15,-11,2,4,"AR","AR-2006",2006
2,1,37,18,-11,2,4,"AR","AR-2006",2006
2,2,60,7,-11,2,4,"AR","AR-2006",2006
2,2,36,12,1,2,3,"AR","AR-2006",2006
2,1,40,7,-11,2,3,"AR","AR-2006",2006
2,1,31,16,-11,2,5,"AR","AR-2006",2006
2,2,32,12,-11,2,2,"AR","AR-2006",2006
2,1,56,14,-11,2,5,"AR","AR-2006",2006
1,1,39,12,-11,2,4,"AR","AR-2006",2006
2,1,56,14,1,2,4,"AR","AR-2006",2006
1,2,66,7,1,2,3,"AR","AR-2006",2006
3,2,28,25,-11,2,2,"AR","AR-2006",2006
3,1,58,7,-11,2,2,"AR","AR-2006",2006
2,2,64,12,1,2,3,"AR","AR-2006",2006
2,1,34,12,-11,2,3,"AR","AR-2006",2006
1,2,61,7,-11,2,2,"AR","AR-2006",2006
3,1,62,7,-11,2,4,"AR","AR-2006",2006
2,1,63,12,-11,2,4,"AR","AR-2006",2006
1,1,26,11,-11,2,5,"AR","AR-2006",2006
2,2,47,7,1,2,2,"AR","AR-2006",2006
1,1,37,9,-11,2,1,"AR","AR-2006",2006
1,2,40,18,-11,2,2,"AR","AR-2006",2006
5,2,27,18,-11,2,5,"AR","AR-2006",2006
5,2,25,18,-11,2,5,"AR","AR-2006",2006
2,1,22,14,-11,2,4,"AR","AR-2006",2006
2,1,58,12,-11,2,3,"AR","AR-2006",2006
1,1,58,7,1,2,5,"AR","AR-2006",2006
1,2,41,12,1,2,1,"AR","AR-2006",2006
1,2,54,12,1,2,2,"AR","AR-2006",2006
1,1,33,18,-11,2,5,"AR","AR-2006",2006
2,2,33,7,-11,2,2,"AR","AR-2006",2006
2,1,45,18,-11,2,4,"AR","AR-2006",2006
2,2,70,14,1,2,5,"AR","AR-2006",2006
1,2,41,15,-11,2,3,"AR","AR-2006",2006
1,2,44,11,-11,2,1,"AR","AR-2006",2006
1,1,53,12,-11,2,4,"AR","AR-2006",2006
2,2,62,12,-11,2,2,"AR","AR-2006",2006
1,1,50,12,-11,2,4,"AR","AR-2006",2006
1,1,30,7,-11,2,3,"AR","AR-2006",2006
2,2,58,7,1,2,3,"AR","AR-2006",2006
1,1,56,7,1,2,5,"AR","AR-2006",2006
2,2,50,15,-11,2,5,"AR","AR-2006",2006
1,1,57,9,-11,2,4,"AR","AR-2006",2006
1,2,65,10,1,2,4,"AR","AR-2006",2006
2,1,82,7,1,2,4,"AR","AR-2006",2006
2,2,42,15,1,2,5,"AR","AR-2006",2006
2,1,45,14,1,2,5,"AR","AR-2006",2006
2,2,23,14,-11,2,3,"AR","AR-2006",2006
2,2,55,7,1,2,2,"AR","AR-2006",2006
2,2,39,12,1,2,2,"AR","AR-2006",2006
4,1,56,7,-11,2,3,"AR","AR-2006",2006
1,1,37,13,-11,2,4,"AR","AR-2006",2006
3,1,31,9,-11,2,3,"AR","AR-2006",2006
2,2,28,15,1,2,2,"AR","AR-2006",2006
2,1,49,12,-11,2,2,"AR","AR-2006",2006
4,1,62,3,-11,2,4,"AR","AR-2006",2006
99,2,35,7,1,2,,"AR","AR-2006",2006
1,1,76,3,1,2,4,"AR","AR-2006",2006
2,1,48,12,-11,2,5,"AR","AR-2006",2006
2,2,39,9,1,2,2,"AR","AR-2006",2006
3,2,44,8,1,2,3,"AR","AR-2006",2006
2,2,55,9,1,2,3,"AR","AR-2006",2006
2,1,45,12,-11,2,,"AR","AR-2006",2006
3,1,27,7,-11,2,3,"AR","AR-2006",2006
2,2,65,4,-11,2,4,"AR","AR-2006",2006
4,2,28,7,-11,2,2,"AR","AR-2006",2006
2,2,39,7,1,2,4,"AR","AR-2006",2006
2,1,53,2,-11,2,4,"AR","AR-2006",2006
3,2,19,7,-11,2,3,"AR","AR-2006",2006
2,2,54,4,1,2,4,"AR","AR-2006",2006
2,1,36,7,1,2,5,"AR","AR-2006",2006
1,1,42,9,-11,2,3,"AR","AR-2006",2006
2,2,54,5,1,2,2,"AR","AR-2006",2006
1,2,62,3,-11,2,3,"AR","AR-2006",2006
1,1,34,10,-11,2,4,"AR","AR-2006",2006
2,1,34,7,-11,2,,"AR","AR-2006",2006
2,1,46,7,-11,2,3,"AR","AR-2006",2006
2,2,53,7,-11,2,5,"AR","AR-2006",2006
1,2,35,14,1,2,2,"AR","AR-2006",2006
1,1,60,2,-11,2,4,"AR","AR-2006",2006
2,2,36,7,1,2,1,"AR","AR-2006",2006
1,2,25,25,-11,2,2,"AR","AR-2006",2006
2,2,72,7,1,2,4,"AR","AR-2006",2006
1,2,39,12,-11,2,2,"AR","AR-2006",2006
1,2,37,11,1,2,4,"AR","AR-2006",2006
2,2,38,12,-11,2,2,"AR","AR-2006",2006
2,2,37,10,1,2,2,"AR","AR-2006",2006
2,1,58,5,1,2,4,"AR","AR-2006",2006
2,1,26,10,-11,2,2,"AR","AR-2006",2006
2,1,37,10,-11,2,5,"AR","AR-2006",2006
2,1,58,7,-11,2,4,"AR","AR-2006",2006
1,1,45,9,-11,2,5,"AR","AR-2006",2006
3,2,53,8,-11,2,4,"AR","AR-2006",2006
2,1,24,12,-11,2,3,"AR","AR-2006",2006
2,2,43,13,-11,2,4,"AR","AR-2006",2006
2,1,41,7,-11,2,4,"AR","AR-2006",2006
2,2,47,2,-11,2,4,"AR","AR-2006",2006
3,2,31,7,1,2,2,"AR","AR-2006",2006
4,2,38,7,1,2,2,"AR","AR-2006",2006
3,2,38,7,1,2,4,"AR","AR-2006",2006
3,1,57,7,-11,2,3,"AR","AR-2006",2006
3,2,35,12,-11,2,4,"AR","AR-2006",2006
3,1,31,3,-11,2,,"AR","AR-2006",2006
3,1,25,7,-11,2,,"AR","AR-2006",2006
2,2,21,15,-11,2,3,"AR","AR-2006",2006
2,2,61,7,1,2,4,"AR","AR-2006",2006
1,1,39,9,-11,2,4,"AR","AR-2006",2006
1,1,83,7,1,2,4,"AR","AR-2006",2006
1,2,45,3,1,2,2,"AR","AR-2006",2006
4,1,26,7,-11,2,5,"AR","AR-2006",2006
1,1,54,5,-11,2,3,"AR","AR-2006",2006
2,1,48,7,-11,2,4,"AR","AR-2006",2006
2,2,60,7,1,2,2,"AR","AR-2006",2006
2,1,44,12,-11,2,1,"AR","AR-2006",2006
2,2,57,4,1,2,2,"AR","AR-2006",2006
1,2,27,3,1,2,3,"AR","AR-2006",2006
1,1,31,12,-11,2,4,"AR","AR-2006",2006
1,1,69,7,-11,2,4,"AR","AR-2006",2006
1,2,54,7,-11,2,5,"AR","AR-2006",2006
2,2,41,7,1,2,2,"AR","AR-2006",2006
2,1,37,9,-11,2,5,"AR","AR-2006",2006
2,1,33,10,-11,2,5,"AR","AR-2006",2006
2,1,49,11,-11,2,4,"AR","AR-2006",2006
1,2,53,15,-11,2,4,"AR","AR-2006",2006
1,1,30,14,-11,2,3,"AR","AR-2006",2006
2,2,40,9,1,2,2,"AR","AR-2006",2006
3,1,74,7,1,2,2,"AR","AR-2006",2006
1,2,42,12,1,2,3,"AR","AR-2006",2006
3,2,45,14,-11,2,5,"AR","AR-2006",2006
2,2,62,12,1,2,5,"AR","AR-2006",2006
1,2,27,13,-11,2,4,"AR","AR-2006",2006
2,2,52,25,-11,2,4,"AR","AR-2006",2006
2,2,61,12,1,2,3,"AR","AR-2006",2006
2,1,53,18,-11,2,3,"AR","AR-2006",2006
1,2,48,13,-11,2,3,"AR","AR-2006",2006
1,2,52,11,-11,2,1,"AR","AR-2006",2006
1,2,62,9,1,2,2,"AR","AR-2006",2006
1,2,47,15,-11,2,3,"AR","AR-2006",2006
1,2,34,12,-11,2,4,"AR","AR-2006",2006
1,2,28,11,1,2,3,"AR","AR-2006",2006
4,2,23,25,-11,2,2,"AR","AR-2006",2006
1,2,59,12,1,2,4,"AR","AR-2006",2006
3,1,44,12,-11,2,4,"AR","AR-2006",2006
1,1,28,18,-11,2,4,"AR","AR-2006",2006
3,2,32,18,-11,2,4,"AR","AR-2006",2006
2,1,43,10,-11,2,5,"AR","AR-2006",2006
2,1,50,18,-11,2,3,"AR","AR-2006",2006
2,2,26,12,-11,2,2,"AR","AR-2006",2006
2,2,54,12,-11,2,2,"AR","AR-2006",2006
2,2,44,11,-11,2,3,"AR","AR-2006",2006
1,2,41,15,-11,2,3,"AR","AR-2006",2006
2,1,21,12,-11,2,4,"AR","AR-2006",2006
1,1,62,10,-11,2,5,"AR","AR-2006",2006
5,2,54,7,1,2,3,"AR","AR-2006",2006
1,1,54,12,-11,2,5,"AR","AR-2006",2006
99,2,27,15,-11,2,,"AR","AR-2006",2006
2,2,34,14,-11,2,4,"AR","AR-2006",2006
2,2,36,18,-11,2,3,"AR","AR-2006",2006
2,1,52,12,1,2,3,"AR","AR-2006",2006
1,1,68,12,-11,2,5,"AR","AR-2006",2006
1,2,56,7,1,2,3,"AR","AR-2006",2006
1,1,44,14,-11,2,4,"AR","AR-2006",2006
4,2,30,15,-11,2,2,"AR","AR-2006",2006
2,2,32,7,1,2,2,"AR","AR-2006",2006
3,2,36,7,1,2,3,"AR","AR-2006",2006
2,2,49,12,1,2,4,"AR","AR-2006",2006
2,1,59,3,-11,2,3,"AR","AR-2006",2006
2,2,47,12,-11,2,4,"AR","AR-2006",2006
1,2,47,9,1,2,4,"AR","AR-2006",2006
2,1,28,25,-11,2,4,"AR","AR-2006",2006
2,2,23,8,1,2,4,"AR","AR-2006",2006
2,1,51,12,-11,2,3,"AR","AR-2006",2006
2,1,45,10,-11,2,3,"AR","AR-2006",2006
1,2,37,18,-11,2,3,"AR","AR-2006",2006
2,2,29,12,-11,2,2,"AR","AR-2006",2006
2,1,50,10,-11,2,4,"AR","AR-2006",2006
4,1,25,15,-11,2,2,"AR","AR-2006",2006
3,1,43,12,-11,2,2,"AR","AR-2006",2006
2,2,62,7,-11,2,2,"AR","AR-2006",2006
2,2,62,12,1,2,4,"AR","AR-2006",2006
2,2,30,7,-11,2,2,"AR","AR-2006",2006
2,1,66,5,-11,2,3,"AR","AR-2006",2006
2,1,55,8,-11,2,4,"AR","AR-2006",2006
2,2,61,7,-11,2,4,"AR","AR-2006",2006
1,2,25,14,-11,2,2,"AR","AR-2006",2006
2,1,35,12,-11,2,4,"AR","AR-2006",2006
2,1,38,15,-11,2,2,"AR","AR-2006",2006
2,1,55,7,-11,2,4,"AR","AR-2006",2006
2,2,58,8,1,2,4,"AR","AR-2006",2006
2,2,45,15,-11,2,3,"AR","AR-2006",2006
4,2,34,12,1,2,3,"AR","AR-2006",2006
2,1,47,7,-11,2,2,"AR","AR-2006",2006
4,1,58,12,-11,2,4,"AR","AR-2006",2006
2,2,38,8,-11,2,2,"AR","AR-2006",2006
1,2,56,14,-11,2,3,"AR","AR-2006",2006
4,2,71,7,1,2,4,"AR","AR-2006",2006
1,1,38,12,1,2,5,"AR","AR-2006",2006
1,1,30,12,-11,2,5,"AR","AR-2006",2006
